,Title,English,Type,Episodes,Status,Start_Aired,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users
1,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,TV,64.0,Finished Airing,2009,Bones,Manga,Action,Military,Shounen,24.0,R - 17+ (violence & profanity),9.131,900398.0
2,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama Love is War - Ultra Romantic,TV,13.0,Finished Airing,2022,A-1 Pictures,Manga,Comedy,Psychological,Seinen,23.0,PG-13 - Teens 13 or older,9.121,335909.0
3,Gintama°,Gintama Season 4,TV,51.0,Finished Airing,2015,Bandai Namco Pictures,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,9.081,222441.0
4,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,TV,10.0,Finished Airing,2019,Wit Studio,Manga,Action,Gore,Shounen,23.0,R - 17+ (violence & profanity),9.071,357688.0
5,Gintama',Gintama Season 2,TV,51.0,Finished Airing,2011,Sunrise,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,9.051,213983.0
6,Gintama: The Final,Gintama The Very Final,Movie,1.0,Finished Airing,2021,Bandai Namco Pictures,Manga,Action,Gag Humor,Shounen,104.0,PG-13 - Teens 13 or older,9.051,54154.0
7,Gintama': Enchousen,Gintama Enchousen,TV,13.0,Finished Airing,2012,Sunrise,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,9.041,149578.0
8,Gintama.,Gintama Season 5,TV,12.0,Finished Airing,2017,Bandai Namco Pictures,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,8.991,129977.0
9,3-gatsu no Lion 2nd Season,March Comes In Like A Lion 2nd Season,TV,22.0,Finished Airing,2017,Shaft,Manga,Drama,Childcare,Seinen,25.0,PG-13 - Teens 13 or older,8.951,181281.0
10,Gintama,Gintama,TV,201.0,Finished Airing,2006,Sunrise,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,8.951,365222.0
11,Koe no Katachi,A Silent Voice,Movie,1.0,Finished Airing,2016,Kyoto Animation,Manga,Drama,Romantic Subtext,Shounen,130.0,PG-13 - Teens 13 or older,8.951,423905.0
12,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Gintama. Silver Soul Arc - Second Half War,TV,14.0,Finished Airing,2018,Bandai Namco Pictures,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,8.891,82873.0
13,Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer Kimetsu no Yaiba Entertainment District Arc,TV,11.0,Finished Airing,2021,ufotable,Manga,Action,Historical,Shounen,26.0,R - 17+ (violence & profanity),8.851,604806.0
14,Monster,Monster,TV,74.0,Finished Airing,2004,Madhouse,Manga,Drama,Adult Cast,Seinen,24.0,R+ - Mild Nudity,8.841,321136.0
15,Shingeki no Kyojin: The Final Season,Attack on Titan The Final Season,TV,16.0,Finished Airing,2020,MAPPA,Manga,Action,Gore,Shounen,23.0,R - 17+ (violence & profanity),8.821,108459.0
16,Kingdom 3rd Season,Kingdom Season 3,TV,26.0,Finished Airing,2020,"Pierrot, Studio Signpost",Manga,Action,Historical,Seinen,25.0,R - 17+ (violence & profanity),8.821,27715.0
17,Kingdom 4th Season,Kingdom Season 4,TV,26.0,Currently Airing,2022,"Pierrot, Studio Signpost",Manga,Action,Historical,Seinen,24.0,R - 17+ (violence & profanity),8.821,8011.0
18,Gintama.: Shirogane no Tamashii-hen,Gintama. Silver Soul Arc,TV,12.0,Finished Airing,2018,Bandai Namco Pictures,Manga,Action,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,8.811,90964.0
19,Shingeki no Kyojin: The Final Season Part 2,Attack on Titan The Final Season Part 2,TV,12.0,Finished Airing,2022,MAPPA,Manga,Action,Gore,Shounen,23.0,R - 17+ (violence & profanity),8.801,500193.0
20,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,TV,10.0,Finished Airing,2016,Production I.G,Manga,Sports,School,Shounen,24.0,PG-13 - Teens 13 or older,8.791,714780.0
21,Hajime no Ippo,Fighting Spirit,TV,75.0,Finished Airing,2000,Madhouse,Manga,Sports,Combat Sports,Shounen,23.0,PG-13 - Teens 13 or older,8.751,245115.0
22,Mushishi Zoku Shou 2nd Season,Mushi-shi Next Passage Part 2,TV,10.0,Finished Airing,2014,Artland,Manga,Adventure,Adult Cast,Seinen,23.0,PG-13 - Teens 13 or older,8.741,96588.0
23,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories Showa Genroku Rakugo Shinju,TV,12.0,Finished Airing,2017,Studio Deen,Manga,Drama,Adult Cast,Josei,24.0,PG-13 - Teens 13 or older,8.741,60311.0
24,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X Trust and Betrayal,OVA,4.0,Finished Airing,1999,Studio Deen,Manga,Action,Adult Cast,Shounen,30.0,R - 17+ (violence & profanity),8.711,130918.0
25,Ashita no Joe 2,Tomorrow's Joe 2,TV,47.0,Finished Airing,1980,Tokyo Movie Shinsha,Manga,Action,Combat Sports,Shounen,24.0,PG-13 - Teens 13 or older,8.711,17003.0
26,Mushishi Zoku Shou,Mushi-shi Next Passage Part 1,TV,10.0,Finished Airing,2014,Artland,Manga,Adventure,Adult Cast,Seinen,24.0,PG-13 - Teens 13 or older,8.701,109181.0
27,Great Teacher Onizuka,Great Teacher Onizuka,TV,43.0,Finished Airing,1999,Pierrot,Manga,Comedy,Delinquents,Shounen,25.0,R - 17+ (violence & profanity),8.691,369711.0
28,Jujutsu Kaisen,Jujutsu Kaisen,TV,24.0,Finished Airing,2020,MAPPA,Manga,Action,School,Shounen,23.0,R - 17+ (violence & profanity),8.671,291912.0
29,Mushishi,Mushi-Shi,TV,26.0,Finished Airing,2005,Artland,Manga,Adventure,Adult Cast,Seinen,25.0,PG-13 - Teens 13 or older,8.671,258343.0
